,input,target
33590,but if you re wrong . . .,if i m wrong . . .
33591,i took care of it .,what was it so i ll know .
33592,they can come in now .,wait . . . there s something else .
33593,wait . . . there s something else .,alright .
33594,was it a boy or a girl ?,mike at three and a half . . .
33595,it was a boy .,and kay . . .she s all right ?
33596,and kay . . .she s all right ?,she took the senate investigation worse .
33597,that plane goes to miami . . .,i want it met .
33598,fifteen percent skim ?,twenty five this time .
33599,it might show .,mike wants it .
33600,what s up ?,no questions .
33601,did my brother go back ?,yeah but don t worry .
33602,you re right .,tom what do i do now ?
33603,don t worry about anything frankie five angels .,thanks tom . thanks .
33604,is he related to the witness ?,he is i believe a brother .
33605,senator kane .,this meeting is adjourned .
33606,this meeting is adjourned .,this committee owes an apology !
33607,this committee owes an apology !,the committee is adjourned until further notice .
33608,kay .,yes michael .
33609,how s the baby ?,sleeping inside me .
33610,sleeping inside me .,does it feel like a boy ?
33611,does it feel like a boy ?,yes michael it does .
33612,kay i told you . . .,goodbye michael .
33613,who s asking ?,where can we talk ?
33614,where can we talk ?,right here .
33615,i wouldn t consider anyone else .,except the president of the united states .
33616,so ?,so that occurred to me .
33617,i just left our friend in miami .,how is his health ?
33618,how is his health ?,not good .
33619,i know .,when do we talk ?
33620,when do we talk ?,after dinner .
33621,you were unfair with them .,says who ?
33622,sure mike . i ll go along .,good .
33623,we ll try .,it s important .
33624,on the phone ?,no she s here .
33625,you want a war ?,we got no choice .
33626,we got friends in the commission .,i m talking about italians !
33627,i m talking about italians !,what about michael corleone ?
33628,what about michael corleone ?,he supports me .
33629,he supports me .,maybe yes . . . maybe no .
33630,how much more a month ?,eh . . . five dollars more .
33631,what makes you say that ?,just thinking out loud .
33632,just thinking out loud .,yeah well keep your filthy thoughts to yourself .
33633,fuck you .,not anymore you don t . doll .
33634,so what did you think ?,weird .
33635,it still hurt . a lot .,i didn t mean to . . .
33636,you liked it too .,sure . i loved it .
33637,sure . i loved it .,if you enjoy it you should do it .
33638,how long you worked for mr . whale ?,long enough . fifteen years .
33639,your wife ?,i m not married .
33640,i m not married .,why ?
33641,you ever been married hanna ?,of course . i am married still .
33642,of course . i am married still .,yeah ? what s your husband do ?
33643,yeah ? what s your husband do ?,he is dead now twenty years .
33644,he is dead now twenty years .,then you re as single as i am .
33645,a homo ?,yes ! you know ?
33646,you did not know ?,well . . .no not really
33647,well . . .no not really,you and he are not doing things ?
33648,you and he are not doing things ?,no !
33649,i m not going to hurt anyone .,yes . i trust you .
33650,thanks . why do you do it ?,what do i do ?
33651,good morning .,mornin .
33652,nice place .,and your name is ?
33653,and your name is ?,boone . clayton boone .
33654,or would you prefer a beer ?,no . iced tea s fine .
33655,no . iced tea s fine .,splendid .
33656,what ? oh yes .,excuse me but are you famous ?
33657,i returned recently from a stay in hospital .,what was wrong ?
33658,what was wrong ?,nothing serious . a touch of stroke .
33659,football in college .,you went to university ?
33660,you don t say ? which picture ?,bride of frankenstein .
33661,that shirt mr . boone .,it s new .
33662,take a picture it lasts longer .,that s exactly what i intend to do .
33663,do you mind ?,go ahead .
33664,is this david s doing ?,this david s a friend ?
33665,did you now ?,i liked it . we all did .
33666,i liked it . we all did .,did anyone laugh ?
33667,did anyone laugh ?,no .
33668,did you kill anyone ?,i don t like to talk about that .
33669,does that surprise you ?,no i you re a homosexual .
33670,i m not you know .,i never thought you were .
33671,not at the moment .,why not ?
33672,you first .,oh no . i never swim .
33673,everybody has stories to tell .,not me .
33674,you were a soldier ?,i was an officer .
33675,good afternoon clayton .,do i look okay ?
33676,i suppose you d like the top down .,if that s okay ?
33677,if that s okay ?,nothing would please me more .
33678,what did i tell you ? listen .,i don t hear anything .
33679,no . the girl .,girl ? oh . elizabeth taylor .
33680,run for what ?,can t you see ? it s raining !
33681,what happened ?,i didn t have the guts for it .
33682,do you mind ?,not at all .
33683,i don t remember that one .,james whale . this afternoon at the party .
33684,barnett . barnett on the wire .,your friend ?
33685,so it is going to happen after all .,what d you say ?
33686,no . it won t do .,what won t do ?
33687,what won t do ?,you are much too human .
33688,what was that ?,it s too tight .
33689,you okay ?,oh clayton .
33690,oh clayton .,did i hurt you ?
33691,did i hurt you ?,nothing i didn t deserve .
33692,nothing i didn t deserve .,need some help ?
33693,need some help ?,pray you undo this button .
33694,you ll feel better tomorrow .,tomorrow and tomorrow and tomorrow . . .
33695,boone ! you awake ? eight o clock .,fuck off !
33696,fuck off !,you told me to get you up asshole .
33697,you coming boone ?,i think i ll hang around .
33698,hey boone .,have a drink ?
33699,thank you .,goodbye hanna .
33700,i didn t ask george to invite you .,then who did ?
33701,jimmy . how are you ?,elsa ?
33702,mr . kay sir .,yes ?
33703,she is horrible .,she is beautiful .
33704,you will take them all mr . jimmy ?,i ll be fine hanna . thank you .
33705,i ll be fine hanna . thank you .,good night .
33706,who was that at the door ?,a visitor .
33707,sure .,after you then .
33708,you re serious .,quite .
33709,quite .,then the rumors are true ?
33710,then the rumors are true ?,what rumors might those be ?
33711,can that count as one question ?,of course .
33712,of course .,i can t believe i m doing this .
33713,okay . frankenstein . tell me everything .,righto . let me see .
33714,my monsters ?,don t go away .
33715,what are you doing here ?,is there someplace we can talk ?
33716,it s been a long time memphis,six years . . .
33717,what kind of job . . . ?,a boost . a big boost . . .
33718,who was the job for ?,who do you think ?
33719,jesus . . .,the business has changed . . .
33720,ding dong the witch is dead right ?,point five . . .
33721,i m not interested,i knew you d say that .
33722,i knew you d say that .,i m just here about my brother .
33723,i m just here about my brother .,i knew you d say that too
33724,get out of here ray,one more night
33725,one more night,get out
33726,well that certainly won t do .,what do you mean ?
33727,i know you,you know my back
33728,you know my back,you want to come along quiet ?
33729,let them go,how s that ?
33730,you have my word . . .,get out of here then . now .
33731,i know you .,you know my back .
33732,i know you .,you know my back .
33733,you know my back .,what are you still doing here randall ?
33734,what are you still doing here randall ?,stopped by to see otto . say hello .
33735,i m on the move,your girl works in there . . .
33736,your girl works in there . . .,not my girl anymore
33737,i know you .,you know my back .
33738,consider me gone detective,i ll catch you later randall
33739,i ll catch you later randall,double meaning intended
33740,double meaning intended,you betcha
33741,what s this ?,cadillac .
33742,double meaning intended right ?,right . . .
33743,the other day . . . .,what for ?
33744,how d it go ?,keys were in it . . .
33745,got it . . .,good .
33746,c mon man . . .,we re partners here
33747,donny,donny nothin !
33748,lookit kip . all grown up . . .,hey donny
33749,what color ?,gray .
33750,wow ! they got eleanor here ?,i know . weird huh ?
33751,eleanor is memphis unicorn .,and there she is
33752,dignity . . .,yeah . . .
33753,jesus . the whole damn thing s loaded .,one minute !
33754,that s a good one donny . . .,i think so too
33755,how you know that ?,remember who my brother is ?
33756,you look good . . .,you too ma . . .
33757,you too ma . . .,what are you doing back ?
33758,what are you doing back ?,how s kip ?
33759,have you seen him ?,no .
33760,no .,oh .
33761,you getting my checks . . . ?,of course . . .
33762,oh for god s sake,i know sir . . .
33763,any more o ?,you guys are through . . .
33764,you guys are through . . .,whatcha got left . . . ?
33765,hey kip what s up ?,what do you say toby ?
33766,what do you say toby ?,i m cool
33767,it looks just like a regular mustang,don t go there toby
33768,any more . . .,i dunno . . .
33769,no . . .,what am i supposed to do ?
33770,hey kip . . .,hello memphis
33771,kip ?,yeah . . .
33772,yeah . . .,you all right ?
33773,you sure you re okay ?,yeah man . where is your beer ?
33774,cool . so you re living up north ?,yeah
33775,yeah,i heard you were pumping gas
33776,i heard you were pumping gas,something like that
33777,nah . it s a scratch .,okay
33778,hey you want something to eat ?,what do you got . . . ?
33779,so what are you gonna do ?,about what ?
33780,about what ?,about what ?
33781,what happened to you ?,what ?
33782,hey now,he s gonna kill you !
33783,he s gonna kill you !,i can handle it
33784,i can handle it,you can handle it ?
33785,you can handle it ?,i can handle it
33786,i can handle it,you can handle it ?
33787,you can handle it ?,i can handle it
33788,i can handle it,you ?
33789,you ?,me .
33790,me .,you ?
33791,you ?,me . . .
33792,what are you doing here ?,otto called
33793,shadow games ?,shadow games . . .
33794,thank you . . .,de nada . . .
33795,what era was that ?,the era when crime didn t pay
33796,you okay ?,i m cool .
33797,too early to tell . nervous ?,nah .
33798,come here,what ?
33799,what ?,come here
33800,come here,what ?
33801,what ?,come here
33802,i ve missed you man . . .,i know . i ve missed you too
33803,toby . . .,i know . . .
33804,i know . . .,toby . . .
33805,you boost her ?,hell yeah . she s not my unicorn .
